qci,kpi,count,mean,median,min,max,std,p50,p90,p99
1,throughput,4,11.3,11.3,10.5,12.1,0.924,11.3,12.1,12.1
1,latency,4,52.5,52.5,50.0,55.0,2.887,52.5,55.0,55.0
1,packet_loss,4,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01
2,throughput,2,25.3,25.3,25.3,25.3,0.0,25.3,25.3,25.3
2,latency,2,80.0,80.0,80.0,80.0,0.0,80.0,80.0,80.0
2,packet_loss,2,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02
5,throughput,2,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1
5,latency,2,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0
5,packet_loss,2,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001
7,throughput,2,15.2,15.2,15.2,15.2,0.0,15.2,15.2,15.2
7,latency,2,60.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0
7,packet_loss,2,0.015,0.015,0.015,0.015,0.0,0.015,0.015,0.015
9,throughput,2,100.7,100.7,100.7,100.7,0.0,100.7,100.7,100.7
9,latency,2,120.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0
9,packet_loss,2,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03
8,throughput,2,75.4,75.4,75.4,75.4,0.0,75.4,75.4,75.4
8,latency,2,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0
8,packet_loss,2,0.025,0.025,0.025,0.025,0.0,0.025,0.025,0.025
3,throughput,2,8.9,8.9,8.9,8.9,0.0,8.9,8.9,8.9
3,latency,2,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0
3,packet_loss,2,0.005,0.005,0.005,0.005,0.0,0.005,0.005,0.005
6,throughput,2,45.6,45.6,45.6,45.6,0.0,45.6,45.6,45.6
6,latency,2,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
6,packet_loss,2,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02
4,throughput,2,30.2,30.2,30.2,30.2,0.0,30.2,30.2,30.2
4,latency,2,70.0,70.0,70.0,70.0,0.0,70.0,70.0,70.0
4,packet_loss,2,0.018,0.018,0.018,0.018,0.0,0.018,0.018,0.018
